CheeseId,CheeseNameEn,CheeseNameFr,ManufacturerNameEn,ManufacturerNameFr,ManufacturerProvCode,ManufacturingTypeEn,ManufacturingTypeFr,WebSiteEn,WebSiteFr,FatContentPercent,MoisturePercent,ParticularitiesEn,ParticularitiesFr,FlavourEn,FlavourFr,CharacteristicsEn,CharacteristicsFr,RipeningEn,RipeningFr,Organic,CategoryTypeEn,CategoryTypeFr,MilkTypeEn,MilkTypeFr,MilkTreatmentTypeEn,MilkTreatmentTypeFr,RindTypeEn,RindTypeFr,LastUpdateDate
379,,Madame Chèvre Elite,Woolwich Dairy,,ON,Industrial,Industrielle,http://www.woolwichdairy.com,http://www.woolwichdairy.com/french.aspx,21,57,"Roasted Red Pepper, Cranberry with Port, Mediterranean, Lemon poppy seed","Poivron rouge grillé, canneberges au porto, méditerranéen, pavot et citron",Rich and creamy,Riche et crèmeuse,Fresh cheese,Fromage frais,,,0,Fresh Cheese,Pâte fraîche,Goat,Chèvre,Pasteurized,Pasteurisé,,,2016-02-03
406,Leoni-Grana,Leoni-Grana,Leoni-Grana,Leoni-Grana,AB,Artisan,Artisanale,,,,,,,,,Parmesan type,Type parmesan,6 Months,6 mois,0,Hard Cheese,Pâte dure,Cow,Vache,Raw Milk,Lait cru,,,2016-02-03
414,Gouda (Jerseyland Organic),,Jerseyland Organics,,BC,Farmstead,Fermière,http://www.jerseylandorganics.ca,,33,34,"Available : Plain, Garlic and dill, Mixed herb, Caraway, Cumin, Onion & garlic, Hemp","Disponible: Nature, aneth et ail, fines herbes, carvi, cumin, oignon et ail, chanvre",,,"Organic. Made with Jersey Milk as such very rich, creamy and pleasing colour",Biologique. Fabriqué avec du lait de vache Jersey qui produit une couleur riche et crémeuse,2 Months,2 mois,1,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Raw Milk,Lait cru,,,2016-02-03
415,Cheddar (Jerseyland Organic),,Jerseyland Organics,,BC,Farmstead,Fermière,http://www.jerseylandorganics.ca,,33,34,"Available : Plain, onion and garlic, Jalapeno/Habenero, Leicester","Disponible: Nature, oignon et ail, jalapeno/habenero, Leicester",,,Organic. No dye/colour added.  Made from Jersey Milk,Biologique. Aucun colorant ajouté.  Fabriqué à partir de lait de vache Jersey,2 Months,2 mois,1,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Raw Milk,Lait cru,,,2016-02-03
416,Grana (Jerseyland Organic),,Jerseyland Organics,,BC,Farmstead,Fermière,http://www.jerseylandorganics.ca,,33,33,,,,,Organic. Our grana's are Parmesan and Asiago; these are from our own Jersey milk. No colouring added,Biologique. Les granas sont de type Parmesan et Asiago fait à partir de lait de vache Jersey.  Aucun colorant ajouté,2 Months,2 mois,1,Hard Cheese,Pâte dure,Cow,Vache,Raw Milk,Lait cru,,,2016-02-03
417,Feta (Jerseyland Organic),,Jerseyland Organics,,BC,Farmstead,Fermière,http://www.jerseylandorganics.ca,,31,43,Available : Plain or Sundried tomato and oregano and onion,"Disponible: Nature ou tomates séchées, oregan et oignon.",Creamy and rich tasting.  Creamy in colour due to the carotene in Jersey milk,Couleur crémeuse due à la tenure élevé en carotène du lait de Jersey,Organic. Made with Jersey milk,Biologique. Fabriqué à partir de lait de vache Jersey,2 Months,2 mois,1,Soft Cheese,Pâte molle,Cow,Vache,Raw Milk,Lait cru,,,2016-02-03
418,Udderly Organic Goat Gouda (Jerseyland Organic),,Jerseyland Organics,,BC,Farmstead,Fermière,http://www.jerseylandorganics.ca,,33,34,,,"Available : Plain , garlic and dill, mixed herbs","Disponible : nature, aneth et ail, fines herbes",Organic,Biologique,2 Months,2 mois,1,Semi-soft Cheese,Pâte demi-ferme,Goat,Chèvre,Raw Milk,Lait cru,,,2016-02-03
419,Udderly Organic Goat Feta (Jerseyland Organic),,Jerseyland Organics,,BC,Farmstead,Fermière,http://www.jerseylandorganics.ca,,32,43,,,"Available : Plain,  sundried tomato and herbs","Disponible : nature, tomates séchées et herbes",Organic,Biologique,2 Months,2 mois,1,Soft Cheese,Pâte molle,Goat,Chèvre,Raw Milk,Lait cru,,,2016-02-03
624,Madawaska,Madawaska,Back Forty Artisan Cheese,,ON,Artisan,Artisanale,http://www.artisancheese.ca,,,,,,,,"Slightly tangy center moving to a soft, sweet and slightly salty cream under the rind.","Centre un peu acidulé,  plus mou et un peu crèmeux et salé sous la croûte.",2 Months,2 mois,0,Soft Cheese,Pâte molle,Ewe,Brebis,Raw Milk,Lait cru,Bloomy Rind,Croûte fleurie,2016-02-03
629,Cracked Pepper Verdelait,,Natural Pastures Cheese Company,,BC,Artisan,Artisanale,http://www.naturalpastures.com,,30,41,The Royal Agricultural Winter Fair 1st Place,"Premier prix au ""Royal Agricultural Winter Fair""","Spiked with a slightly warm, premium, cracked black pepper",Aromatisé aux baies de poivre noir.,"Ripened, creamy cheese",Fromage crèmeux,,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
630,Cumin Verdelait,Cumin Verdelait,Natural Pastures Cheese Company,,BC,Artisan,Artisanale,http://www.naturalpastures.com,,30,41,The Royal Agricultural Winter Fair 1st Place 2004,"Premier prix en 2004 au ""Royal Agricultural Winter Fair""","Mild flavour of sweet butter and a delicate, smokey, exotic, lemony finish","Saveur butyreuse, fumé et marqué au citron",,,,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
631,Garlic and Chive Verdelait,,Natural Pastures Cheese Company,,BC,Artisan,Artisanale,http://www.naturalpastures.com,,30,41,British Empire Cheese Show 2004 1st Place,"Premier prix en 2004 au ""British Empire Cheese Show""",Flavourful blend of garlic and chives,Un mélange d'ail et ciboulette,,,,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
632,Wasabi Verdelait,,Natural Pastures Cheese Company,,BC,Artisan,Artisanale,http://www.naturalpastures.com,,30,41,,,"Ginger, garlic and local organic wasabi.","Mélange de gingembre, d'ail et wasabi biologique local pour donner une douce fusion brillante.",,,,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
648,Comox Camembert,Comox Camembert,Natural Pastures Cheese Company,,BC,Artisan,Artisanale,http://www.naturalpastures.com,,28,48,2006 Canadian Grand Prix Finalist,Finaliste du Grand Prix des fromages canadiens en 2006,Creamy with a note of mushroom,Crémeuse et douce saveur de champignons,"Ripened,",Affiné,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
655,Provolone (Silani),Provolone (Silani),Silani Sweet Cheese,,ON,Industrial,Industrielle,http://www.silani.ca,,24,45,"2006 Canadian Cheese Grand Prix Category Champion ""Pasta filata""","Gagnant en 2006 du Grand Prix des fromages Canadiens de la catégorie ""Pasta filata""",Mild to sharp with light smoky flavour Also available with Omega 3,Doux à fort avec une saveur un peu fumée. Aussi disponible avec Omega 3,Supple and smooth with a golden-yellow waxed rind,Souple et doux avec une croûte jaunâtre parafinée.,2 Months,2 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
656,Ricotta (Silani),Ricotta (Silani),Silani Sweet Cheese,,ON,Industrial,Industrielle,http://www.silani.ca,,10,80,2006 Canadian Cheese Grand Prix Finalist,Finaliste du Grand Prix des fromages Canadiens 2006,Milky Also available with Omega 3,Goût de lait Aussi disponbile avec Omega 3,"Granular, creamy and soft in texture","Texture granuleuse, crèmeuse et douce",Unripened,non-affiné,0,Fresh Cheese,Pâte fraîche,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
657,Gouda (Sylvan Star Ltd.),,Sylvan Star Cheese,,AB,Farmstead,Fermière,http://www.sylvanstarcheesefarm.ca,,28,43,"2006, 2009, 2011 Canadian Cheese Grand Prix Category Champion","Gagnant au Grand Prix des fromages Canadiens 2006, 2009 et 2011","Basil, black pepper, black pepper and garlic, cumin, dill, fenugreek, friesian cloves, green peppercorn, greeen peppecorn with cayenne, italian herbs","Basilic, poivre noir, poivre noir et ail, nigelle, aneth, fenugrec, friesencloves, grain de poivre vert, grain de poivre avec cayenne, herbes","Mild, medium, aged","Doux, medium, fort",15 Months,15 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
658,Niagara Gold,,Upper Canada Cheese Company,,ON,Farmstead,Fermière,http://www.uppercanadacheese.com,,32,39,2006 Canadian Cheese Grand Prix Finalist,Finaliste au Grand Prix des fromages Canadiens en 2006,"Mild and sweet, nutty and buttery flavour.","Saveur douce, goût de noix et butyreuse.",Made from Guernsey milk.,Fabriqué avec du lait Guernsey,5 Months,5 mois,0,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Pasteurized,Pasteurisé,Washed Rind,Croûte lavée,2016-02-03
659,Comfort Cream,,Upper Canada Cheese Company,,ON,Farmstead,Fermière,http://www.uppercanadacheese.com,,,,"Awarded second place (silver) at the 2009 American Cheese Society Judging and Competition in Austin, TX.","A remporté la seconde place (argent) à l'édition 2009 de la American Cheese Society Judging and Competition à Austin, TX.","Earthy, tangy flavour","Saveur du terroir, piquant.",Similar to Camembert,Semblable au Camembert,Less than 1 Month,moins de 1 mois,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
662,Cheddar (Balderson),,Balderson Cheese (Parmalat),,ON,Industrial,Industrielle,http://www.baldersoncheese.ca,http://www.baldersoncheese.ca/french/,31,39,,,,,,,More than 5 Years,plus de 5 ans,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2017-01-18
663,,Cheddars (Fromagerie St-Albert),,Fromagerie St-Albert,ON,Industrial,Industrielle,http://www.fromage-st-albert.com/eng/eng.htm,http://www.fromage-st-albert.com/fra/fra.htm,31,39,,,"Five peppers, garlic, dill, chives, fine herbs and tomato, apple etc","Cinq poivres, ail, aneth, ciboulette, fines herbes et tomates, pommes, etc","Curds, mild, medium, old, extra old, extra old 5 years.","Fromage en grains, doux, mi-fort, fort, extra fort, extra fort 5 ans",15 Months,15 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-04-14
664,Gouda (That Dutchman's Farm),,That Dutchman's Farm,,NS,Farmstead,Fermière,http://www.denhoek.ca,,26.67,42,2009 Canadian Cheese Grand Prix Category Winner,Champion de catégorie  au Grand Prix des fromages Canadiens 2009,"Mild, medium, old, caraway, cumin, cumin and cloves, fines herbs, garlic, pepper mix, smoked.","Doux, medium, fort, carvi, cumin, cumin et ciboulette, fines herbes, ail, mélange de poivre, fumé","Natural rind, shaped into wheels, smooth","Croûte naturelle, en formes de meule, doux",,,0,Firm Cheese,Pâte ferme,Cow,Vache,Thermised,Thermisé,,,2016-02-03
665,Dragon's Breath,,That Dutchman's Farm,,NS,Farmstead,Fermière,http://www.denhoek.ca,,26.67,42,,,"Delicate, a bit spicy.","Doux, un peu épicée.",Blue cheese dipped in black wax,Fromage bleu trempé dans la cire noire.,3 Months,3 mois,0,Soft Cheese,Pâte molle,Cow,Vache,Raw Milk,Lait cru,,,2016-02-03
667,Feta (Black Diamond),,Black Diamond (Parmalat),,ON,Industrial,Industrielle,http://www.blackdiamond.ca,http://www.blackdiamond.ca/bdFrench.html,22,55,2006 and 2009 Canadian Cheese Grand Prix Category Winner,Champion de catégorie  au Grand Prix des fromages Canadiens 2006 et 2009,Mild,Doux,,,Less than 1 Month,moins de 1 mois,0,Fresh Cheese,Pâte fraîche,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
713,Dalhousie,,Back Forty Artisan Cheese,,ON,Artisan,Artisanale,http://www.artisancheese.ca,,,,,,"Hints of butter, nuts, and fruit","Saveur combinée de beurre, noix et fruits",,,,,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Raw Milk,Lait cru,Brushed Rind,Croûte brossée,2016-02-03
714,Highland Blue,,Back Forty Artisan Cheese,,ON,Artisan,Artisanale,http://www.artisancheese.ca,,,,,,Butter and mushrooms,Beurre et champignons,Unpressed blue mold cheese with natural rind,Fromage bleu non-pressée à croûte naturelle,,,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Raw Milk,Lait cru,,,2016-02-03
715,Flower Station,,Back Forty Artisan Cheese,,ON,Artisan,Artisanale,http://www.artisancheese.ca,,,,,,,,Feta Cheese,Fromage feta,,,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Raw Milk,Lait cru,No Rind,Sans croûte,2016-02-03
716,,Bonnecherre,Back Forty Artisan Cheese,,ON,Artisan,Artisanale,http://www.artisancheese.ca,,,,,,Tangy and fruity,Acidulé et fruité,Toasted rind,Croûte grillée,,,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Raw Milk,Lait cru,,,2016-02-03
717,Snow Road,,Back Forty Artisan Cheese,,ON,Artisan,Artisanale,http://www.artisancheese.ca,,,,,,Aromatic and intense flavour,Aromatique et corsé,Soft pale orange rind,Croûte molle orange pâle,,,0,Soft Cheese,Pâte molle,Ewe,Brebis,Raw Milk,Lait cru,Washed Rind,Croûte lavée,2016-02-03
718,French Line,,Back Forty Artisan Cheese,,ON,Artisan,Artisanale,http://www.artisancheese.ca,,,,,,"Butter, nuts and vanilla","Beurre, noix et vanille",,,,,0,Firm Cheese,Pâte ferme,Ewe,Brebis,Raw Milk,Lait cru,Brushed Rind,Croûte brossée,2016-02-03
721,,Brebis frais (Best Baa Dairy),Ewenity Dairy Co-operative,,ON,Artisan,Artisanale,http://www.ewenity.com,,18,60,,,Mild tangy taste,Goût légèrement acidulé,Creamy,Crémeux,,,0,Fresh Cheese,Pâte fraîche,Ewe,Brebis,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
722,,Eweda cru (Best Baa Dairy),Ewenity Dairy Co-operative,,ON,Artisan,Artisanale,http://www.ewenity.com,,37,42,,,Mild,Doux,"Creamy, covered with a green wax",Crémeux et recouvert d'une cire verte,2 Months,2 mois,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Raw Milk,Lait cru,,,2016-02-03
723,Ramembert (Best Baa Dairy),,Ewenity Dairy Co-operative,,ON,Artisan,Artisanale,http://www.ewenity.com,,25,55,,,,,"White rind, creamier than camembert","Croûte blanche, plus crémeux qu'un camembert",Less than 1 Month,moins de 1 mois,0,Soft Cheese,Pâte molle,Ewe,Brebis,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
724,Feta (Best Baa Dairy),,Ewenity Dairy Co-operative,,ON,Artisan,Artisanale,http://www.ewenity.com,,25,,,,Mild,Doux,Creamy,Crémeux,Less than 1 Month,moins de 1 mois,0,Fresh Cheese,Pâte fraîche,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
728,Cheddar (Bright Brand),,Bright Cheese and Butter Milk Manufacturing,,ON,Industrial,Industrielle,,,32,34,,,"Mild, medium, extra-old, 4 and 5 year-old","Doux, medium, veilli, 4 ans et 5 ans",White and orange,Blanc et orange,5 Years,5 ans,0,Firm Cheese,Pâte ferme,Cow,Vache,Thermised,Thermisé,No Rind,Sans croûte,2016-04-15
730,Eweda (Best Baa Dairy),,Ewenity Dairy Co-operative,,ON,Artisan,Artisanale,http://www.ewenity.com,,32,47,made with gouda recipe but with a very different taste,Recette du gouda mais avec un gout different,,,,,1 Month,1 mois,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
731,,Mouton rouge (Best Baa Dairy),Ewenity Dairy Co-operative,,ON,Artisan,Artisanale,http://www.ewenity.com,,30,48,,,,,,,2 Months,2 mois,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Raw Milk,Lait cru,,,2016-02-03
732,Brigitte (Best Baa Dairy),,Ewenity Dairy Co-operative,,ON,Artisan,Artisanale,http://www.ewenity.com,,28,58,,,,,,,2 Months,2 mois,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Raw Milk,Lait cru,,,2016-02-03
734,Banon,Banon,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,Cured in grape leaves,Vieilli dans une feuille de vigne,,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,,,2016-02-03
735,Bianco Nero,Bianco Nero,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,Pyramid shape and covered with black vegetable ash,Forme pyramidale et recouvert de cendres végétales,,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,,,2016-02-03
736,Bliss,,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,Camembert style,Style Camembert,,,0,Soft Cheese,Pâte molle,Ewe and Goat,Brebis et chèvre,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
737,Goat Tomme,,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,Tomme style,Style Tomme,,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,,,2016-02-03
738,Toscano,Toscano,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,"Italian style, natural rind cheese","Style Italien, croute naturelle",,,0,Firm Cheese,Pâte ferme,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
739,Ricotta (Montforte),Ricotta (Montforte),Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,,,,,0,Fresh Cheese,Pâte fraîche,Ewe,Brebis,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
740,Piacere,Piacere,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,"Covered with rosemary, chili pepper and jumper berries","Recouvert de romarin, piment rouge et baies de genièvre",,,,,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
741,Pecorino Fresco / Pepato Fresco,Pecorino Fresco / Pepato Fresco,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,Pecorino style,Style Pecorino,,,0,Fresh Cheese,Pâte fraîche,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
742,Paradiso,Paradiso,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,,,,,0,Semi-soft Cheese,Pâte demi-ferme,Ewe,Brebis,Pasteurized,Pasteurisé,Washed Rind,Croûte lavée,2016-02-03
743,Nika,Nika,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,herbs and organic garlic flowers,Herbes et fleurs d'ail biologiques,,,,,0,Fresh Cheese,Pâte fraîche,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
744,Halloumi,Halloumi,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,Arabic style cheese,Style fromage du Moyen Orient,,,0,Fresh Cheese,Pâte fraîche,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
745,Fresco,Fresco,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,,,,,0,Fresh Cheese,Pâte fraîche,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
746,,Belle,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,,,,,,,0,Fresh Cheese,Pâte fraîche,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
747,Baumans Smoked,,Montforte Dairy Company,,ON,Artisan,Artisanale,http://www.montfortedairy.com,,,,,,Maple smoked,Fumé a l'érable,Inspired by the traditional oszczek,Inspiré du Oxzczek traditionnel,,,0,Firm Cheese,Pâte ferme,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
748,Gouda (Thunder Oak),,Thunder Oak Cheese Farm,,ON,Farmstead,Fermière,http://www.cheesefarm.ca,,,,Dutch cheese award,Mérite des fromages Néerlandais,"Cumin, Garlic, Pepper, fenugreek,","Cumin, ail, poivre, fenugrec,",Creamy,Crémeux,,,0,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
749,Mozzarella (Amalgamated Dairies Ltd.),,Amalgamated Dairies,,PE,Industrial,Industrielle,http://www.adl.ca,,,,,,,,,,2 Months,2 mois,0,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
750,Brick (Amalgamated Dairies Ltd),,Amalgamated Dairies,,PE,Industrial,Industrielle,http://www.adl.ca,,,,,,,,,,2 Months,2 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
751,Colby (Amalgamated Dairies Ltd.),,Amalgamated Dairies,,PE,Industrial,Industrielle,http://www.adl.ca,,,,,,,,,,2 Months,2 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
752,Cheddar (Amalgamated Dairies Limited),,Amalgamated Dairies,,PE,Industrial,Industrielle,http://www.adl.ca,,,,1st place recipient at the Central Ontario Cheese Makers Association 81st annual convention and British Empire,"1er prix au 81ième Congrès annual du ""Central Ontario Cheese Makers Association"" et à l'exposition du ""British Empire""","Mild, mild light, Med, old and extra old","Doux, doux léger, médium, fort, et extra-fort",,,,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
753,Monterey Jack (Amalgamated Dairies),,Amalgamated Dairies,,PE,Industrial,Industrielle,http://www.adl.ca,,,,,,,,White and Orange,Blanc et jaune,2 Months,2 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
754,Farmers (Amalgamated Dairies Ltd),,Amalgamated Dairies,,PE,Industrial,Industrielle,http://www.adl.ca,,,,,,,,,,2 Months,2 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
756,Mozzarella (Farmers Cooporative Dairies),,Farmers Cooperative Dairy,,NS,Industrial,Industrielle,http://www.farmersdairy.ca,,25,44,,,,,,,,,0,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
757,Cheddar (Foxhill Cheese),,Foxhill Cheese Cheesehouse,,NS,Farmstead,Fermière,http://www.foxhillcheesehouse.com,,,,,,"Blueberry, cranberry","Bleuets, canneberges",,,2 Years,2 ans,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
758,Gouda (Foxhill Cheese),,Foxhill Cheese Cheesehouse,,NS,Farmstead,Fermière,http://www.foxhillcheesehouse.com,,,,,,"Cumin, Herbs and Garlic, Smoked, Jalapeno","Cumin, Herbes et ail, Fumé, Jalapeno","Old, Medium","Vieilli, Medium",,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
